Sample description: EDF_DataBlockID                     0.Image.Psd
Sample: EDF_DataBlockID  c= 0 mg/ml  Code: 
Parent(s): /Users/andreashlarsen/Downloads/Group4_120824Afertnoon/merge_001.dat /Users/andreashlarsen/Downloads/Group4_120824Afertnoon/merge_002.dat
  1.322674e-01   2.131071e-03   3.270899e-04
  1.326069e-01   2.531932e-03   3.125821e-04
  1.329465e-01   2.219914e-03   3.270190e-04
  1.332861e-01   2.120327e-03   3.299396e-04
  1.336257e-01   1.494097e-03   3.621038e-04
  1.339653e-01   2.051304e-03   3.975749e-04
  1.343049e-01   2.209789e-03   3.169501e-04
  1.346444e-01   1.451992e-03   2.868183e-04
  1.349840e-01   1.574879e-03   3.036668e-04
  1.353236e-01   2.057173e-03   3.119967e-04
  1.356632e-01   1.522308e-03   3.176977e-04
  1.360028e-01   1.730063e-03   3.294859e-04
  1.363424e-01   1.667919e-03   2.846930e-04
  1.366819e-01   1.730148e-03   2.792936e-04
  1.370215e-01   1.807105e-03   2.916741e-04
  1.373611e-01   1.639041e-03   3.093084e-04
  1.377007e-01   1.575678e-03   3.003011e-04
  1.380403e-01   1.520751e-03   2.728376e-04
  1.383798e-01   1.410246e-03   2.829475e-04
  1.387194e-01   1.202436e-03   2.162946e-04
  1.390590e-01   1.231395e-03   3.134399e-04
  1.393986e-01   1.423922e-03   3.026494e-04
  1.397382e-01   1.278388e-03   2.753288e-04
  1.400778e-01   1.424225e-03   3.101530e-04
  1.404173e-01   1.092003e-03   3.161666e-04
  1.407569e-01   1.438085e-03   2.903131e-04
  1.410965e-01   1.014127e-03   2.478273e-04
  1.414361e-01   1.428110e-03   2.941662e-04
  1.417757e-01   1.394747e-03   2.432968e-04
  1.421153e-01   1.249343e-03   2.452254e-04
  1.424548e-01   1.351263e-03   2.679437e-04
  1.427944e-01   1.475383e-03   2.895105e-04
  1.431340e-01   1.451095e-03   2.591175e-04
  1.434736e-01   1.778874e-03   2.774111e-04
  1.438132e-01   1.477558e-03   2.442520e-04
  1.441527e-01   1.106233e-03   2.289674e-04
  1.444923e-01   1.039367e-03   2.320019e-04
  1.448319e-01   1.343385e-03   2.445453e-04
  1.451715e-01   1.674223e-03   2.241894e-04
  1.455111e-01   1.221822e-03   2.310518e-04
  1.458507e-01   2.019310e-03   2.775388e-04
  1.461902e-01   1.718675e-03   2.758628e-04
  1.465298e-01   1.555259e-03   2.944815e-04
  1.468694e-01   1.019130e-03   2.930386e-04
  1.472090e-01   1.092063e-03   2.701672e-04
  1.475486e-01   1.613078e-03   2.765110e-04
  1.478882e-01   9.765162e-04   2.851853e-04
  1.482277e-01   9.492869e-04   2.618357e-04
  1.485673e-01   1.108895e-03   2.605473e-04
  1.489069e-01   1.038667e-03   2.544009e-04
  1.492465e-01   1.126408e-03   2.415613e-04
  1.495861e-01   1.089863e-03   2.108547e-04
  1.499256e-01   1.226037e-03   2.609330e-04
  1.502652e-01   1.298478e-03   2.461186e-04
  1.506048e-01   1.799680e-03   2.350382e-04
  1.509444e-01   1.389207e-03   2.666736e-04
  1.512840e-01   1.252782e-03   2.455330e-04
  1.516236e-01   1.018451e-03   2.190809e-04
  1.519631e-01   9.628539e-04   2.794807e-04
  1.523027e-01   1.134828e-03   3.094433e-04
  1.526423e-01   7.634718e-04   2.538003e-04
  1.529819e-01   1.126875e-03   2.537472e-04
  1.533215e-01   8.215641e-04   2.932609e-04
  1.536611e-01   6.728700e-04   3.047345e-04
  1.540006e-01   1.160467e-03   2.687662e-04
  1.543402e-01   1.031425e-03   2.573049e-04
  1.546798e-01   1.032438e-03   2.728745e-04
  1.550194e-01   7.943558e-04   2.461860e-04
  1.553590e-01   1.299491e-03   2.474835e-04
  1.556986e-01   1.176095e-03   2.414958e-04
  1.560381e-01   9.413300e-04   2.061062e-04
  1.563777e-01   9.851984e-04   2.660734e-04
  1.567173e-01   1.087343e-03   2.317856e-04
  1.570569e-01   1.128772e-03   2.252182e-04
  1.573965e-01   1.179267e-03   2.039146e-04
  1.577360e-01   1.130172e-03   1.935946e-04
  1.580756e-01   8.769870e-04   1.964514e-04
  1.584152e-01   8.758005e-04   2.520432e-04
  1.587548e-01   5.714838e-04   2.277026e-04
  1.590944e-01   8.720940e-04   1.886112e-04
  1.594340e-01   7.124784e-04   1.956715e-04
  1.597735e-01   8.703491e-04   1.806971e-04
  1.601131e-01   1.444094e-03   2.062676e-04
  1.604527e-01   1.191188e-03   2.123794e-04
  1.607923e-01   1.052767e-03   2.217689e-04
  1.611319e-01   6.680097e-04   2.046430e-04
  1.614715e-01   8.925976e-04   2.334885e-04
  1.618110e-01   6.932812e-04   2.264520e-04
  1.621506e-01   6.526753e-04   2.105450e-04
  1.624902e-01   6.352529e-04   2.168302e-04
  1.628298e-01   5.855804e-04   2.081348e-04
  1.631694e-01   1.129415e-03   2.241134e-04
  1.635089e-01   8.152068e-04   2.145205e-04
  1.638485e-01   8.398187e-04   2.359275e-04
  1.641881e-01   1.086166e-03   2.105648e-04
  1.645277e-01   9.305357e-04   1.932807e-04
  1.648673e-01   7.843218e-04   1.960047e-04
  1.652069e-01   7.328710e-04   1.988819e-04
  1.655464e-01   9.988530e-04   1.726441e-04
  1.658860e-01   9.960400e-04   2.182477e-04
  1.662256e-01   8.048473e-04   2.014234e-04
  1.665652e-01   8.350855e-04   2.064623e-04
  1.669048e-01   9.690811e-04   1.990028e-04
  1.672444e-01   1.158981e-03   2.060881e-04
  1.675839e-01   8.215098e-04   2.124128e-04
  1.679235e-01   8.038469e-04   2.368633e-04
  1.682631e-01   8.827534e-04   2.107961e-04
  1.686027e-01   1.189179e-03   2.181878e-04
  1.689423e-01   7.594343e-04   1.759889e-04
  1.692818e-01   9.791259e-04   1.873184e-04
  1.696214e-01   1.024960e-03   2.321474e-04
  1.699610e-01   8.882618e-04   2.245457e-04
  1.703006e-01   5.904241e-04   1.948861e-04
  1.706402e-01   4.105219e-04   2.226223e-04
  1.709798e-01   9.021348e-04   2.031558e-04
  1.713193e-01   7.788119e-04   1.951361e-04
  1.716589e-01   9.063299e-04   2.156950e-04
  1.719985e-01   6.504729e-04   2.186633e-04
  1.723381e-01   3.715843e-04   2.050445e-04
  1.726777e-01   6.430748e-04   2.015197e-04
  1.730173e-01   3.061877e-04   2.140257e-04
  1.733568e-01   8.555683e-04   2.067534e-04
  1.736964e-01   6.780031e-04   2.231208e-04
  1.740360e-01   5.936710e-04   2.331401e-04
  1.743756e-01   4.224192e-04   2.146436e-04
  1.747152e-01   5.991737e-04   2.393382e-04
  1.750547e-01   3.856393e-04   2.437182e-04
  1.753943e-01   2.277204e-04   2.497793e-04
  1.757339e-01   4.719629e-04   2.558148e-04
  1.760735e-01   2.130296e-04   2.464522e-04
  1.764131e-01   5.650881e-04   2.124005e-04
  1.767527e-01   8.355550e-04   2.377485e-04
  1.770922e-01   4.526589e-04   2.341302e-04
  1.774318e-01   6.910001e-04   2.378129e-04
  1.777714e-01   8.777306e-04   2.181159e-04
  1.781110e-01   5.237849e-04   2.322005e-04
  1.784506e-01   5.949581e-04   1.815063e-04
  1.787902e-01   7.334532e-04   2.043799e-04
  1.791297e-01   1.025332e-03   2.415877e-04
  1.794693e-01   8.907767e-04   2.345758e-04
  1.798089e-01   5.789903e-04   2.293871e-04
  1.801485e-01   2.340170e-04   2.311610e-04
  1.804881e-01  -7.861500e-05   2.581684e-04
  1.808277e-01   4.757910e-04   2.535773e-04
  1.811672e-01   4.367187e-04   2.264686e-04
  1.815068e-01   6.834896e-04   2.507084e-04
  1.818464e-01   1.979695e-04   2.359526e-04
  1.821860e-01   7.034780e-04   2.483738e-04
  1.825256e-01   4.932187e-04   2.353456e-04
  1.828651e-01   6.322040e-04   2.186473e-04
  1.832047e-01   3.751469e-04   1.990667e-04
  1.835443e-01   7.210547e-04   2.233662e-04
  1.838839e-01   6.380399e-04   2.092153e-04
  1.842235e-01   5.256639e-04   1.965358e-04
  1.845631e-01   2.417152e-04   1.760595e-04
  1.849026e-01   2.966865e-04   2.052544e-04
  1.852422e-01   1.645544e-04   2.151235e-04
  1.855818e-01   6.569998e-04   2.164439e-04
  1.859214e-01   6.726926e-04   2.087832e-04
  1.862610e-01   3.005404e-04   1.983829e-04
  1.866006e-01   2.658597e-04   2.372889e-04
  1.869401e-01   2.107634e-04   2.441792e-04
  1.872797e-01  -9.931300e-05   2.828832e-04
  1.876193e-01   2.735190e-04   2.309120e-04
  1.879589e-01   3.756700e-04   2.549976e-04
  1.882985e-01   2.923664e-04   2.451956e-04
  1.886380e-01   4.548213e-04   2.404892e-04
  1.889776e-01   4.172278e-04   2.008202e-04
  1.893172e-01   2.574300e-04   2.578623e-04
  1.896568e-01   4.009205e-04   1.951694e-04
  1.899964e-01   6.401341e-04   2.065929e-04
  1.903360e-01   5.689843e-04   2.072928e-04
  1.906755e-01   1.880226e-04   2.185903e-04
  1.910151e-01   6.134432e-04   2.031840e-04
  1.913547e-01   3.478519e-04   1.777401e-04
  1.916943e-01  -5.786580e-05   1.928208e-04
  1.920339e-01   5.553278e-04   1.952666e-04
