
           ####      G N O M             Version 5.0 (r12736)      ####
                                               Tue Aug 17 08:24:30 2021

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        49.5000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:      50819837458648960
    Points in real space:                   221

    Input  1:                      F:/HR-LYS/dat/alys_0.9.dat
    First data point used:                    1
    Last data point used:                   222
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.708   1.446   0.030   0.371   1.000   0.928   0.140
               --------------------------------------------------------
    Estimate      0.999   0.717   0.940   0.000   1.000   0.966   0.947

    Angular range:                       0.0080 to       1.7200
    Reciprocal space Rg:             0.1456E+02
    Reciprocal space I(0):           0.4279E+02

    Real space range:                    0.0000 to      49.5000
    Real space Rg:                   0.1456E+02 +-   0.1072E+00
    Real space I(0):                 0.4279E+02 +-   0.1911E+00

    Highest ALPHA (theor):           0.4685E+03
    Current ALPHA:                   0.5186E+02

    Total Estimate:                      0.6835 (a REASONABLE solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG
   0.470000E+00   0.413170E+00   0.862900E-01   0.414244E+00   0.414244E+00
   0.475000E+00   0.399910E+00   0.956800E-01   0.407747E+00   0.407747E+00
   0.480000E+00   0.377130E+00   0.642700E-01   0.401933E+00   0.401933E+00
   0.485000E+00   0.353640E+00   0.779000E-01   0.396790E+00   0.396790E+00
   0.490000E+00   0.323170E+00   0.836600E-01   0.392297E+00   0.392297E+00
   0.495000E+00   0.353850E+00   0.653200E-01   0.388429E+00   0.388429E+00
   0.501250E+00   0.372150E+00   0.571830E+00   0.384428E+00   0.384428E+00
   0.510000E+00   0.364920E+00   0.525200E-01   0.380255E+00   0.380255E+00
   0.520000E+00   0.355370E+00   0.451600E-01   0.377258E+00   0.377258E+00
   0.530000E+00   0.354330E+00   0.584300E-01   0.375765E+00   0.375765E+00
   0.540000E+00   0.373830E+00   0.547800E-01   0.375353E+00   0.375353E+00
   0.550000E+00   0.368070E+00   0.599300E-01   0.375543E+00   0.375543E+00
   0.560000E+00   0.361480E+00   0.789600E-01   0.375885E+00   0.375885E+00
   0.570000E+00   0.394380E+00   0.717500E-01   0.375957E+00   0.375957E+00
   0.580000E+00   0.382730E+00   0.713800E-01   0.375397E+00   0.375397E+00
   0.590000E+00   0.414480E+00   0.646000E-01   0.373922E+00   0.373922E+00
   0.600000E+00   0.389110E+00   0.571700E-01   0.371345E+00   0.371345E+00
   0.610000E+00   0.401420E+00   0.480000E-01   0.367573E+00   0.367573E+00
   0.620000E+00   0.407280E+00   0.837100E-01   0.362601E+00   0.362601E+00
   0.630000E+00   0.384330E+00   0.779500E-01   0.356500E+00   0.356500E+00
   0.640000E+00   0.402170E+00   0.537400E-01   0.349396E+00   0.349396E+00
   0.650000E+00   0.392880E+00   0.507300E-01   0.341451E+00   0.341451E+00
   0.660000E+00   0.376980E+00   0.759400E-01   0.332841E+00   0.332841E+00
   0.670000E+00   0.381310E+00   0.790100E-01   0.323745E+00   0.323745E+00
   0.680000E+00   0.324910E+00   0.132900E+00   0.314332E+00   0.314332E+00
   0.690000E+00   0.314050E+00   0.529900E-01   0.304752E+00   0.304752E+00
   0.700000E+00   0.311120E+00   0.516100E-01   0.295147E+00   0.295147E+00
   0.710000E+00   0.297540E+00   0.567600E-01   0.285642E+00   0.285642E+00
   0.720000E+00   0.271160E+00   0.749800E-01   0.276355E+00   0.276355E+00
   0.730000E+00   0.264310E+00   0.450200E-01   0.267371E+00   0.267371E+00
   0.740000E+00   0.241250E+00   0.444670E+00   0.258802E+00   0.258802E+00
   0.750000E+00   0.242080E+00   0.532000E-01   0.250724E+00   0.250724E+00
   0.760000E+00   0.211500E+00   0.632800E-01   0.243201E+00   0.243201E+00
   0.770000E+00   0.188190E+00   0.116450E+00   0.236281E+00   0.236281E+00
   0.780000E+00   0.206190E+00   0.554400E-01   0.229987E+00   0.229987E+00
   0.790000E+00   0.206280E+00   0.609000E-01   0.224316E+00   0.224316E+00
   0.800000E+00   0.184860E+00   0.590700E-01   0.219248E+00   0.219248E+00
   0.810000E+00   0.156810E+00   0.656600E-01   0.214738E+00   0.214738E+00
   0.820000E+00   0.177580E+00   0.594000E-01   0.210734E+00   0.210734E+00
   0.830000E+00   0.156210E+00   0.601700E-01   0.207166E+00   0.207166E+00
   0.840000E+00   0.166530E+00   0.542500E-01   0.204002E+00   0.204002E+00
   0.850000E+00   0.225390E+00   0.648600E-01   0.201162E+00   0.201162E+00
   0.860000E+00   0.204010E+00   0.675600E-01   0.198612E+00   0.198612E+00
   0.870000E+00   0.171280E+00   0.570900E-01   0.196320E+00   0.196320E+00
   0.880000E+00   0.166100E+00   0.498300E-01   0.194258E+00   0.194258E+00
   0.890000E+00   0.147620E+00   0.626500E-01   0.192409E+00   0.192409E+00
   0.900000E+00   0.184530E+00   0.569300E-01   0.190749E+00   0.190749E+00
   0.910000E+00   0.205010E+00   0.564200E-01   0.189263E+00   0.189263E+00
   0.920000E+00   0.154970E+00   0.770700E-01   0.187920E+00   0.187920E+00
   0.930000E+00   0.151690E+00   0.518100E-01   0.186695E+00   0.186695E+00
   0.940000E+00   0.169450E+00   0.623300E-01   0.185557E+00   0.185557E+00
   0.950000E+00   0.176210E+00   0.184580E+00   0.184477E+00   0.184477E+00
   0.960000E+00   0.187020E+00   0.557300E-01   0.183432E+00   0.183432E+00
   0.970000E+00   0.169300E+00   0.496200E-01   0.182407E+00   0.182407E+00
   0.980000E+00   0.203900E+00   0.690400E-01   0.181401E+00   0.181401E+00
   0.990000E+00   0.184070E+00   0.749900E-01   0.180419E+00   0.180419E+00
   0.100500E+01   0.180880E+00   0.551100E-01   0.179029E+00   0.179029E+00
   0.103000E+01   0.140100E+00   0.457700E-01   0.177100E+00   0.177100E+00
   0.106000E+01   0.177650E+00   0.488100E-01   0.175618E+00   0.175618E+00
   0.109000E+01   0.167310E+00   0.537800E-01   0.174741E+00   0.174741E+00
   0.112000E+01   0.175880E+00   0.843100E-01   0.173849E+00   0.173849E+00
   0.115000E+01   0.171380E+00   0.739500E-01   0.172701E+00   0.172701E+00
   0.118000E+01   0.169130E+00   0.954400E-01   0.171443E+00   0.171443E+00
   0.121000E+01   0.204890E+00   0.794600E-01   0.170101E+00   0.170101E+00
   0.124000E+01   0.214950E+00   0.829900E-01   0.168439E+00   0.168439E+00
   0.127000E+01   0.225830E+00   0.189640E+00   0.166316E+00   0.166316E+00
   0.130000E+01   0.260620E+00   0.964900E-01   0.163846E+00   0.163846E+00
   0.133000E+01   0.269780E+00   0.100140E+00   0.161093E+00   0.161093E+00
   0.136000E+01   0.345850E+00   0.110860E+00   0.157911E+00   0.157911E+00
   0.139000E+01   0.301090E+00   0.111130E+00   0.154159E+00   0.154159E+00
   0.142000E+01   0.329980E+00   0.101690E+00   0.149935E+00   0.149935E+00
   0.145000E+01   0.302940E+00   0.104490E+00   0.145422E+00   0.145422E+00
   0.148000E+01   0.279930E+00   0.102410E+00   0.140684E+00   0.140684E+00
