Sample description: DMPC_25_200
Sample: DMPC_25_200  c= 1 mg/ml  Code: DMPC_25_200_water
Parent(s): analysis/processed/subtracted/DMPC_25_200_water_0432_sub.dat
  6.689430e-01   3.044325e+01   2.295743e+00
  6.717030e-01   3.636898e+01   2.312105e+00
  6.744620e-01   3.883456e+01   2.302676e+00
  6.772210e-01   4.193171e+01   2.311470e+00
  6.799800e-01   3.990639e+01   2.297881e+00
  6.827400e-01   3.814750e+01   2.280520e+00
  6.854990e-01   4.175380e+01   2.343432e+00
  6.882580e-01   3.837946e+01   2.294643e+00
  6.910180e-01   4.216341e+01   2.315864e+00
  6.937770e-01   4.444386e+01   2.304444e+00
  6.965360e-01   4.472768e+01   2.304493e+00
  6.992950e-01   4.306497e+01   2.306712e+00
  7.020550e-01   4.232629e+01   2.287537e+00
  7.048140e-01   3.944322e+01   2.295020e+00
  7.075730e-01   4.628136e+01   2.288114e+00
  7.103320e-01   4.540335e+01   2.298080e+00
  7.130920e-01   4.932317e+01   2.298944e+00
  7.158510e-01   4.702478e+01   2.304564e+00
  7.186100e-01   5.129362e+01   2.312922e+00
  7.213700e-01   4.529663e+01   2.261316e+00
  7.241290e-01   5.171234e+01   2.304001e+00
  7.268880e-01   5.430220e+01   2.307005e+00
  7.296470e-01   5.086163e+01   2.281411e+00
  7.324070e-01   5.747267e+01   2.321417e+00
  7.351660e-01   5.391011e+01   2.289316e+00
  7.379250e-01   5.708500e+01   2.323021e+00
  7.406840e-01   5.649771e+01   2.294699e+00
  7.434440e-01   5.810007e+01   2.321859e+00
  7.462030e-01   5.967824e+01   2.306236e+00
  7.489620e-01   5.925047e+01   2.291762e+00
  7.517220e-01   5.731812e+01   2.323658e+00
  7.544810e-01   6.324804e+01   2.297878e+00
  7.572400e-01   6.125634e+01   2.309249e+00
  7.599990e-01   6.074697e+01   2.292557e+00
  7.627590e-01   6.283917e+01   2.321378e+00
  7.655180e-01   6.406250e+01   2.315700e+00
  7.682770e-01   6.844964e+01   2.308812e+00
  7.710370e-01   6.776848e+01   2.312292e+00
  7.737960e-01   6.925515e+01   2.294934e+00
  7.765550e-01   7.030314e+01   2.324221e+00
  7.793140e-01   7.112449e+01   2.331001e+00
  7.820740e-01   7.768414e+01   2.327841e+00
  7.848330e-01   7.511140e+01   2.346138e+00
  7.875920e-01   7.587074e+01   2.314366e+00
  7.903510e-01   7.699895e+01   2.317280e+00
  7.931110e-01   7.584231e+01   2.316006e+00
  7.958700e-01   7.579378e+01   2.347709e+00
  7.986290e-01   7.759841e+01   2.419307e+00
  8.013890e-01   7.869595e+01   2.406822e+00
  8.041480e-01   8.123432e+01   2.442464e+00
  8.069070e-01   8.572261e+01   2.474053e+00
  8.096660e-01   7.869396e+01   2.444766e+00
  8.124260e-01   8.895037e+01   2.491263e+00
  8.151850e-01   8.686902e+01   2.461460e+00
  8.179440e-01   8.888124e+01   2.535943e+00
  8.207030e-01   9.107037e+01   2.523060e+00
  8.234630e-01   9.489082e+01   2.571573e+00
  8.262220e-01   9.399320e+01   2.546761e+00
  8.289810e-01   1.018315e+02   2.565431e+00
  8.317410e-01   1.024722e+02   2.618838e+00
  8.345000e-01   9.928653e+01   2.582540e+00
  8.372590e-01   1.018408e+02   2.614090e+00
  8.400180e-01   1.051345e+02   2.602196e+00
  8.427780e-01   1.059496e+02   2.632832e+00
  8.455370e-01   1.086404e+02   2.611269e+00
  8.482960e-01   1.116201e+02   2.550599e+00
  8.510550e-01   1.143237e+02   2.568858e+00
  8.538150e-01   1.159073e+02   2.549180e+00
  8.565740e-01   1.161021e+02   2.560971e+00
  8.593330e-01   1.211768e+02   2.561743e+00
  8.620930e-01   1.221206e+02   2.525148e+00
  8.648520e-01   1.225492e+02   2.559880e+00
  8.676110e-01   1.261525e+02   2.543373e+00
  8.703700e-01   1.292923e+02   2.549572e+00
  8.731300e-01   1.356054e+02   2.552186e+00
  8.758890e-01   1.337894e+02   2.543783e+00
  8.786480e-01   1.360584e+02   2.593199e+00
  8.814070e-01   1.410770e+02   2.527683e+00
  8.841670e-01   1.421156e+02   2.555237e+00
  8.869260e-01   1.445064e+02   2.549097e+00
  8.896850e-01   1.433313e+02   2.563680e+00
  8.924450e-01   1.540980e+02   2.608975e+00
  8.952040e-01   1.530077e+02   2.549205e+00
  8.979630e-01   1.548188e+02   2.594626e+00
  9.007220e-01   1.585453e+02   2.571307e+00
  9.034820e-01   1.555424e+02   2.637909e+00
  9.062410e-01   1.684049e+02   2.677012e+00
  9.090000e-01   1.667266e+02   2.714893e+00
  9.117590e-01   1.686539e+02   2.754419e+00
  9.145190e-01   1.679063e+02   2.738808e+00
  9.172780e-01   1.698578e+02   2.764426e+00
  9.200370e-01   1.755880e+02   2.787527e+00
  9.227970e-01   1.782284e+02   2.770151e+00
  9.255560e-01   1.789551e+02   2.741677e+00
  9.283150e-01   1.845542e+02   2.681314e+00
  9.310740e-01   1.914248e+02   2.714157e+00
  9.338340e-01   1.927020e+02   2.698581e+00
  9.365930e-01   1.946442e+02   2.717494e+00
  9.393520e-01   2.002106e+02   2.694878e+00
  9.421110e-01   1.977918e+02   2.665560e+00
  9.448710e-01   2.044716e+02   2.706284e+00
  9.476300e-01   2.085217e+02   2.700904e+00
  9.503890e-01   2.075614e+02   2.729716e+00
  9.531490e-01   2.097600e+02   2.711585e+00
  9.559080e-01   2.153142e+02   2.712857e+00
  9.586670e-01   2.164178e+02   2.757969e+00
  9.614260e-01   2.168369e+02   2.701173e+00
  9.641860e-01   2.138583e+02   2.725811e+00
  9.669450e-01   2.194762e+02   2.711151e+00
  9.697040e-01   2.244372e+02   2.739198e+00
  9.724630e-01   2.242834e+02   2.746396e+00
  9.752230e-01   2.222605e+02   2.676636e+00
  9.779820e-01   2.262974e+02   2.711818e+00
  9.807410e-01   2.265800e+02   2.693094e+00
  9.835010e-01   2.252864e+02   2.705603e+00
  9.862600e-01   2.233110e+02   2.685620e+00
  9.890190e-01   2.269762e+02   2.704618e+00
  9.917780e-01   2.291646e+02   2.715682e+00
  9.945380e-01   2.254299e+02   2.665399e+00
  9.972970e-01   2.307149e+02   2.695910e+00
  1.000060e+00   2.282391e+02   2.674527e+00
  1.002820e+00   2.254356e+02   2.669028e+00
  1.005570e+00   2.219167e+02   2.684199e+00
  1.008330e+00   2.272711e+02   2.662001e+00
  1.011090e+00   2.248884e+02   2.672668e+00
  1.013850e+00   2.216758e+02   2.624288e+00
  1.016610e+00   2.235427e+02   2.658279e+00
  1.019370e+00   2.230567e+02   2.638672e+00
  1.022130e+00   2.219782e+02   2.643275e+00
  1.024890e+00   2.181432e+02   2.629984e+00
  1.027650e+00   2.178374e+02   2.595801e+00
  1.030410e+00   2.107104e+02   2.636673e+00
  1.033170e+00   2.099865e+02   2.563559e+00
  1.035930e+00   2.101292e+02   2.599816e+00
  1.038690e+00   2.051431e+02   2.576581e+00
  1.041450e+00   2.089682e+02   2.565364e+00
  1.044200e+00   2.063135e+02   2.578876e+00
  1.046960e+00   2.025785e+02   2.535248e+00
  1.049720e+00   1.976721e+02   2.542990e+00
  1.052480e+00   1.938916e+02   2.540214e+00
  1.055240e+00   2.017475e+02   2.524538e+00
  1.058000e+00   1.929651e+02   2.535435e+00
  1.060760e+00   1.924458e+02   2.494926e+00
  1.063520e+00   1.919021e+02   2.517571e+00
  1.066280e+00   1.885134e+02   2.502560e+00
  1.069040e+00   1.821632e+02   2.452766e+00
  1.071800e+00   1.813292e+02   2.477284e+00
  1.074560e+00   1.788532e+02   2.451709e+00
  1.077320e+00   1.791380e+02   2.468419e+00
  1.080080e+00   1.774762e+02   2.430212e+00
  1.082830e+00   1.712562e+02   2.420154e+00
  1.085590e+00   1.693454e+02   2.413624e+00
  1.088350e+00   1.718641e+02   2.408507e+00
  1.091110e+00   1.678190e+02   2.426045e+00
  1.093870e+00   1.682442e+02   2.393123e+00
  1.096630e+00   1.580538e+02   2.382221e+00
  1.099390e+00   1.629390e+02   2.380921e+00
  1.102150e+00   1.550805e+02   2.357641e+00
  1.104910e+00   1.568116e+02   2.364821e+00
  1.107670e+00   1.557152e+02   2.341179e+00
  1.110430e+00   1.492731e+02   2.344953e+00
  1.113190e+00   1.530822e+02   2.343827e+00
  1.115950e+00   1.534784e+02   2.352123e+00
