No  scale pct2_054.dat pct2_054.dat                                             
  0.718965E+00  0.183484E+04  0.844056E+01
  0.721156E+00  0.182846E+04  0.843408E+01
  0.723346E+00  0.182120E+04  0.834936E+01
  0.725537E+00  0.181617E+04  0.842432E+01
  0.727727E+00  0.180394E+04  0.831116E+01
  0.729917E+00  0.179972E+04  0.837048E+01
  0.732108E+00  0.179715E+04  0.833292E+01
  0.734298E+00  0.179271E+04  0.831492E+01
  0.736489E+00  0.178299E+04  0.828864E+01
  0.738679E+00  0.177173E+04  0.820756E+01
  0.740869E+00  0.176263E+04  0.828164E+01
  0.743060E+00  0.175722E+04  0.821468E+01
  0.745250E+00  0.175283E+04  0.822560E+01
  0.747441E+00  0.174515E+04  0.820948E+01
  0.749631E+00  0.174054E+04  0.815708E+01
  0.751821E+00  0.173341E+04  0.821020E+01
  0.754012E+00  0.172371E+04  0.809572E+01
  0.756202E+00  0.171657E+04  0.813232E+01
  0.758393E+00  0.170773E+04  0.812296E+01
  0.760583E+00  0.170764E+04  0.808716E+01
  0.762773E+00  0.170072E+04  0.809720E+01
  0.764964E+00  0.169347E+04  0.802092E+01
  0.767154E+00  0.168740E+04  0.806636E+01
  0.769345E+00  0.167738E+04  0.801308E+01
  0.771535E+00  0.167187E+04  0.802028E+01
  0.773726E+00  0.166596E+04  0.801628E+01
  0.775916E+00  0.165537E+04  0.794084E+01
  0.778106E+00  0.165260E+04  0.797400E+01
  0.780297E+00  0.164439E+04  0.794500E+01
  0.782487E+00  0.164293E+04  0.792492E+01
  0.784678E+00  0.163387E+04  0.790376E+01
  0.786868E+00  0.162546E+04  0.787168E+01
  0.789058E+00  0.161984E+04  0.792816E+01
  0.791249E+00  0.161336E+04  0.781448E+01
  0.793439E+00  0.161191E+04  0.785412E+01
  0.795630E+00  0.159989E+04  0.783336E+01
  0.797820E+00  0.159192E+04  0.781120E+01
  0.800010E+00  0.158618E+04  0.783672E+01
  0.802201E+00  0.157914E+04  0.775180E+01
  0.804391E+00  0.157597E+04  0.776140E+01
  0.806582E+00  0.156253E+04  0.769984E+01
  0.808772E+00  0.156043E+04  0.774664E+01
  0.810962E+00  0.155842E+04  0.773108E+01
  0.813153E+00  0.154682E+04  0.769944E+01
  0.815343E+00  0.154167E+04  0.770568E+01
  0.817534E+00  0.153047E+04  0.764264E+01
  0.819724E+00  0.152994E+04  0.766636E+01
  0.821914E+00  0.152829E+04  0.761504E+01
  0.824105E+00  0.151837E+04  0.762076E+01
  0.826295E+00  0.150902E+04  0.762504E+01
  0.828486E+00  0.150306E+04  0.752400E+01
  0.830676E+00  0.149562E+04  0.760216E+01
  0.832866E+00  0.149097E+04  0.753444E+01
  0.835057E+00  0.148596E+04  0.755564E+01
  0.837247E+00  0.147688E+04  0.756292E+01
  0.839438E+00  0.147689E+04  0.748788E+01
  0.841628E+00  0.146839E+04  0.754396E+01
  0.843818E+00  0.146027E+04  0.744976E+01
  0.846009E+00  0.145467E+04  0.748264E+01
  0.848199E+00  0.144712E+04  0.745332E+01
  0.850390E+00  0.143883E+04  0.741096E+01
  0.852580E+00  0.144079E+04  0.746416E+01
  0.854771E+00  0.143194E+04  0.739924E+01
  0.856961E+00  0.142527E+04  0.738820E+01
  0.859151E+00  0.142031E+04  0.735828E+01
  0.861342E+00  0.141326E+04  0.735156E+01
  0.863532E+00  0.140789E+04  0.740484E+01
  0.865723E+00  0.140316E+04  0.729404E+01
  0.867913E+00  0.139834E+04  0.733252E+01
  0.870103E+00  0.139053E+04  0.730412E+01
  0.872294E+00  0.138565E+04  0.729124E+01
  0.874484E+00  0.138376E+04  0.729620E+01
  0.876675E+00  0.137515E+04  0.724276E+01
  0.878865E+00  0.137259E+04  0.727244E+01
  0.881055E+00  0.136498E+04  0.721004E+01
  0.883246E+00  0.135862E+04  0.726100E+01
  0.885436E+00  0.135173E+04  0.721652E+01
  0.887627E+00  0.134364E+04  0.717484E+01
  0.889817E+00  0.133874E+04  0.719344E+01
  0.892007E+00  0.133203E+04  0.717400E+01
  0.894198E+00  0.132931E+04  0.714272E+01
  0.896388E+00  0.132671E+04  0.712592E+01
  0.898579E+00  0.132297E+04  0.714104E+01
  0.900769E+00  0.131247E+04  0.712964E+01
  0.902959E+00  0.130961E+04  0.707548E+01
  0.905150E+00  0.130287E+04  0.713328E+01
  0.907340E+00  0.129811E+04  0.704084E+01
  0.909531E+00  0.129284E+04  0.709044E+01
  0.911721E+00  0.128714E+04  0.705412E+01
  0.913911E+00  0.128066E+04  0.700068E+01
  0.916102E+00  0.127227E+04  0.705680E+01
  0.918292E+00  0.126821E+04  0.698632E+01
  0.920483E+00  0.126387E+04  0.702328E+01
  0.922673E+00  0.126017E+04  0.697156E+01
  0.924864E+00  0.125988E+04  0.698776E+01
  0.927054E+00  0.125307E+04  0.697128E+01
  0.929244E+00  0.124682E+04  0.693360E+01
  0.931435E+00  0.123896E+04  0.696300E+01
  0.933625E+00  0.123272E+04  0.688896E+01
  0.935816E+00  0.122868E+04  0.692704E+01
  0.938006E+00  0.122502E+04  0.690244E+01
  0.940196E+00  0.122439E+04  0.685764E+01
  0.942387E+00  0.121325E+04  0.691236E+01
  0.944577E+00  0.120583E+04  0.683824E+01
  0.946768E+00  0.120085E+04  0.688028E+01
  0.948958E+00  0.119888E+04  0.682588E+01
  0.951148E+00  0.119683E+04  0.682764E+01
  0.953339E+00  0.118919E+04  0.683480E+01
  0.955529E+00  0.117979E+04  0.678700E+01
  0.957720E+00  0.117207E+04  0.680720E+01
  0.959910E+00  0.117064E+04  0.675208E+01
  0.962100E+00  0.116858E+04  0.676500E+01
  0.964291E+00  0.116271E+04  0.675492E+01
  0.966481E+00  0.116143E+04  0.673600E+01
  0.968672E+00  0.115748E+04  0.675020E+01
  0.970862E+00  0.115234E+04  0.668940E+01
  0.973052E+00  0.114790E+04  0.672724E+01
  0.975243E+00  0.113949E+04  0.670648E+01
  0.977433E+00  0.113083E+04  0.667044E+01
