Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
  1.023880e+00   7.179735e+02   1.248673e+01
  1.026640e+00   7.235469e+02   1.227697e+01
  1.029410e+00   6.829772e+02   1.238593e+01
  1.032170e+00   6.789150e+02   1.237910e+01
  1.034930e+00   6.661206e+02   1.223608e+01
  1.037700e+00   6.229627e+02   1.225500e+01
  1.040460e+00   6.123072e+02   1.214814e+01
  1.043230e+00   6.146630e+02   1.228778e+01
  1.045990e+00   5.949952e+02   1.223132e+01
  1.048750e+00   5.852709e+02   1.216201e+01
  1.051520e+00   5.839659e+02   1.215589e+01
  1.054280e+00   5.529576e+02   1.209237e+01
  1.057050e+00   5.171806e+02   1.212524e+01
  1.059810e+00   5.044602e+02   1.205014e+01
  1.062580e+00   4.965862e+02   1.206792e+01
  1.065340e+00   4.842090e+02   1.206958e+01
  1.068100e+00   4.358295e+02   1.201988e+01
  1.070870e+00   4.455552e+02   1.202264e+01
  1.073630e+00   4.342255e+02   1.189114e+01
  1.076400e+00   4.117246e+02   1.196631e+01
  1.079160e+00   3.852387e+02   1.192987e+01
  1.081930e+00   3.813759e+02   1.194812e+01
  1.084690e+00   3.975154e+02   1.186401e+01
  1.087450e+00   3.506145e+02   1.181072e+01
  1.090220e+00   3.375607e+02   1.190301e+01
  1.092980e+00   3.349154e+02   1.183229e+01
  1.095750e+00   3.046221e+02   1.184562e+01
  1.098510e+00   3.137914e+02   1.175209e+01
  1.101280e+00   3.029710e+02   1.177326e+01
  1.104040e+00   2.795428e+02   1.181401e+01
  1.106800e+00   2.715405e+02   1.167016e+01
  1.109570e+00   2.654398e+02   1.179548e+01
  1.112330e+00   2.397756e+02   1.173345e+01
  1.115100e+00   2.567603e+02   1.167875e+01
  1.117860e+00   2.422140e+02   1.175408e+01
  1.120630e+00   2.372744e+02   1.154415e+01
  1.123390e+00   2.222813e+02   1.169496e+01
  1.126150e+00   2.046512e+02   1.157445e+01
  1.128920e+00   2.018194e+02   1.166387e+01
  1.131680e+00   1.703888e+02   1.160067e+01
  1.134450e+00   1.668307e+02   1.147591e+01
  1.137210e+00   1.616302e+02   1.160112e+01
  1.139970e+00   1.603453e+02   1.151861e+01
  1.142740e+00   1.423204e+02   1.151751e+01
  1.145500e+00   1.460854e+02   1.150915e+01
  1.148270e+00   1.366013e+02   1.148099e+01
  1.151030e+00   1.224719e+02   1.150484e+01
  1.153800e+00   1.179038e+02   1.141452e+01
  1.156560e+00   1.018283e+02   1.140152e+01
  1.159320e+00   1.038932e+02   1.143449e+01
  1.162090e+00   9.430863e+01   1.139174e+01
