
Sample:   c= 0 mg/ml  Code: 
 1.658990e-001  2.666567e-003  4.295883e-004
 1.662880e-001  2.439232e-003  4.289683e-004
 1.666780e-001  2.697076e-003  4.261363e-004
 1.670680e-001  2.754919e-003  4.245624e-004
 1.674570e-001  1.968302e-003  4.239459e-004
 1.678470e-001  2.383693e-003  4.194893e-004
 1.682370e-001  2.664603e-003  4.205621e-004
 1.686260e-001  2.235805e-003  4.307148e-004
 1.690160e-001  2.987286e-003  4.267344e-004
 1.694060e-001  3.010127e-003  4.248390e-004
 1.697950e-001  2.640514e-003  4.222199e-004
 1.701850e-001  2.362360e-003  4.278030e-004
 1.705750e-001  2.740490e-003  4.187389e-004
 1.709640e-001  1.819715e-003  4.304164e-004
 1.713540e-001  2.534533e-003  4.275012e-004
 1.717440e-001  2.179117e-003  4.280104e-004
 1.721330e-001  2.213419e-003  4.210371e-004
 1.725230e-001  2.509106e-003  4.335550e-004
 1.729130e-001  2.527577e-003  4.253169e-004
 1.733020e-001  2.377373e-003  4.258383e-004
 1.736920e-001  2.590075e-003  4.306930e-004
 1.740820e-001  2.304782e-003  4.294281e-004
 1.744710e-001  2.430675e-003  4.383677e-004
 1.748610e-001  2.352940e-003  4.363710e-004
 1.752500e-001  2.027859e-003  4.321585e-004
 1.756400e-001  2.408615e-003  4.336580e-004
 1.760300e-001  2.164275e-003  4.319929e-004
 1.764190e-001  1.860537e-003  4.308699e-004
 1.768090e-001  2.406498e-003  4.282629e-004
 1.771990e-001  2.163873e-003  4.280905e-004
 1.775880e-001  1.843936e-003  4.296916e-004
 1.779780e-001  2.238527e-003  4.293521e-004
 1.783680e-001  1.890921e-003  4.305942e-004
 1.787570e-001  2.480414e-003  4.360578e-004
 1.791470e-001  2.272110e-003  4.312796e-004
 1.795360e-001  2.228146e-003  4.320882e-004
 1.799260e-001  1.872418e-003  4.277510e-004
 1.803160e-001  1.934363e-003  4.328966e-004
 1.807050e-001  2.397623e-003  4.284970e-004
 1.810950e-001  2.406232e-003  4.317617e-004
 1.814840e-001  1.981451e-003  4.419948e-004
 1.818740e-001  2.310293e-003  4.418483e-004
 1.822640e-001  2.146211e-003  4.413524e-004
 1.826530e-001  2.214161e-003  4.458676e-004
 1.830430e-001  2.142159e-003  4.397731e-004
 1.834320e-001  1.648250e-003  4.323189e-004
 1.838220e-001  2.208505e-003  4.366838e-004
 1.842120e-001  1.862644e-003  4.318512e-004
 1.846010e-001  2.115440e-003  4.354353e-004
 1.849910e-001  1.304988e-003  4.301014e-004
 1.853800e-001  2.228493e-003  4.362582e-004
 1.857700e-001  2.265018e-003  4.258954e-004
 1.861600e-001  1.586687e-003  4.315933e-004
 1.865490e-001  1.601101e-003  4.362930e-004
